iter	Passed	Remaining
0	0	386
1	1	357
2	1	357
3	2	356
4	2	343
5	3	335
6	3	329
7	4	323
8	4	319
9	5	315
10	5	313
11	6	309
12	6	306
13	7	305
14	7	302
15	8	300
16	8	300
17	9	299
18	9	298
19	10	299
20	10	300
21	11	298
22	11	297
23	12	296
24	12	295
25	13	294
26	13	293
27	14	292
28	14	291
29	15	290
30	15	290
31	16	289
32	17	297
33	17	296
34	18	295
35	18	294
36	19	293
37	19	292
38	20	291
39	20	290
40	21	289
41	21	288
42	22	287
43	22	286
44	23	285
45	23	285
46	24	284
47	24	283
48	25	283
49	25	282
50	26	281
51	26	280
52	27	279
53	27	279
54	28	278
55	28	277
56	29	277
57	29	276
58	30	276
59	30	275
60	31	275
61	32	281
62	33	283
63	33	283
64	34	284
65	35	283
66	35	282
67	36	281
68	36	280
69	36	279
70	37	279
71	38	278
72	38	278
73	38	277
74	39	276
75	39	275
76	40	275
77	40	274
78	41	273
79	41	272
80	42	272
81	42	271
82	43	270
83	43	269
84	44	269
85	44	268
86	45	267
87	45	267
88	46	266
89	46	265
90	47	264
91	47	264
92	48	263
93	48	263
94	49	263
95	50	262
96	50	261
97	50	261
98	51	260
99	51	259
100	52	259
101	52	258
102	53	258
103	53	257
104	54	256
105	54	256
106	55	255
107	55	254
108	56	254
109	56	253
110	57	253
111	57	252
112	58	252
113	58	251
114	59	250
115	59	250
116	60	249
117	61	249
118	61	249
119	62	248
120	62	248
121	63	247
122	63	246
123	64	246
124	64	245
125	65	245
126	65	244
127	66	243
128	66	243
129	67	242
130	67	242
131	68	241
132	68	240
133	69	240
134	69	239
135	70	239
136	70	238
137	71	237
138	71	237
139	72	236
140	72	236
141	73	235
142	73	235
143	74	234
144	74	233
145	74	233
146	75	232
147	75	232
148	76	231
149	76	230
150	77	230
151	77	229
152	78	229
153	78	228
154	79	228
155	79	227
156	80	226
157	80	226
158	81	225
159	81	225
160	82	224
161	82	224
162	83	223
163	83	222
164	84	222
165	84	221
166	85	221
167	85	220
168	86	220
169	86	219
170	87	219
171	87	218
172	88	217
173	88	217
174	89	216
175	89	216
176	90	216
177	90	215
178	91	214
179	91	214
180	92	213
181	92	213
182	93	212
183	93	212
184	94	211
185	94	210
186	95	210
187	95	209
188	96	209
189	96	208
190	97	208
191	97	207
192	98	207
193	98	206
194	99	205
195	99	205
196	100	204
197	100	204
198	101	203
199	101	203
200	102	202
201	102	202
202	103	201
203	103	201
204	104	200
205	104	200
206	105	199
207	105	198
208	106	198
209	106	197
210	107	197
211	107	196
212	107	196
213	108	195
214	108	195
215	109	194
216	109	194
217	110	193
218	110	192
219	111	192
220	111	191
221	112	191
222	112	190
223	113	190
224	113	189
225	114	189
226	114	188
227	115	188
228	115	187
229	116	187
230	116	186
231	117	186
232	117	185
233	118	185
234	118	184
235	119	184
236	119	183
237	120	183
238	120	182
239	121	182
240	121	181
241	122	181
242	122	180
243	123	180
244	123	179
245	124	179
246	124	178
247	125	178
248	125	177
249	126	176
250	126	176
251	127	175
252	127	175
253	128	174
254	128	174
255	129	174
256	130	173
257	130	173
258	131	172
259	131	172
260	132	171
261	132	171
262	133	170
263	133	170
264	134	169
265	134	169
266	135	168
267	135	168
268	136	167
269	136	167
270	137	166
271	137	166
272	138	165
273	138	164
274	139	164
275	139	163
276	140	163
277	140	162
278	141	162
279	141	161
280	142	161
281	142	160
282	143	160
283	143	159
284	144	159
285	144	158
286	144	158
287	145	157
288	145	157
289	146	156
290	146	155
291	147	155
292	147	154
293	148	154
294	148	153
295	149	153
296	150	153
297	150	152
298	151	152
299	151	151
300	152	151
301	152	150
302	153	149
303	153	149
304	153	148
305	154	148
306	154	147
307	155	147
308	155	146
309	156	146
310	156	145
311	157	145
312	157	144
313	158	144
314	158	143
315	159	143
316	159	142
317	160	142
318	160	141
319	161	141
320	161	140
321	162	140
322	162	139
323	163	139
324	163	138
325	164	138
326	164	137
327	165	137
328	165	136
329	166	136
330	166	135
331	167	135
332	167	134
333	168	133
334	168	133
335	169	132
336	169	132
337	170	131
338	170	131
339	171	130
340	171	130
341	172	129
342	172	129
343	173	128
344	173	128
345	174	127
346	174	127
347	175	126
348	175	126
349	176	125
350	176	125
351	177	124
352	177	124
353	178	123
354	178	123
355	179	122
356	179	122
357	180	121
358	180	121
359	181	120
360	181	120
361	182	119
362	182	119
363	183	118
364	183	118
365	184	117
366	184	117
367	185	116
368	185	116
369	186	115
370	186	115
371	187	114
372	187	114
373	188	113
374	188	113
375	189	112
376	189	112
377	190	111
378	190	111
379	190	110
380	191	110
381	191	109
382	192	109
383	192	108
384	193	108
385	193	107
386	194	107
387	194	106
388	195	105
389	195	105
390	196	104
391	196	104
392	197	103
393	197	103
394	198	102
395	198	102
396	199	101
397	199	101
398	200	100
399	200	100
400	201	99
401	201	99
402	202	98
403	202	98
404	203	97
405	203	97
406	204	96
407	204	96
408	205	95
409	205	95
410	206	94
411	206	94
412	207	93
413	207	93
414	208	92
415	208	92
416	209	91
417	209	91
418	210	90
419	210	90
420	211	89
421	211	89
422	212	88
423	212	88
424	212	87
425	213	87
426	213	86
427	214	86
428	214	85
429	215	85
430	215	84
431	216	84
432	216	83
433	217	83
434	217	82
435	218	82
436	218	81
437	219	81
438	219	80
439	220	80
440	220	79
441	221	79
442	221	78
443	221	77
444	222	77
445	222	76
446	223	76
447	223	75
448	224	75
449	224	74
450	225	74
451	225	73
452	226	73
453	226	72
454	227	72
455	227	71
456	228	71
457	228	70
458	229	70
459	229	69
460	230	69
461	230	68
462	231	68
463	231	67
464	232	67
465	232	66
466	233	66
467	233	65
468	234	65
469	234	64
470	235	64
471	235	63
472	236	63
473	236	62
474	237	62
475	237	61
476	238	61
477	238	60
478	239	60
479	239	59
480	240	59
481	240	58
482	241	58
483	241	57
484	242	57
485	242	56
486	243	56
487	243	55
488	244	55
489	244	54
490	245	54
491	245	53
492	246	53
493	246	52
494	247	52
495	247	51
496	248	51
497	248	50
498	249	50
499	249	49
500	250	49
501	250	48
502	251	48
503	251	47
504	252	47
505	252	46
506	253	46
507	253	45
508	254	45
509	254	44
510	255	44
511	255	43
512	256	43
513	256	42
514	257	42
515	257	41
516	258	41
517	258	40
518	259	40
519	259	39
520	260	39
521	260	38
522	261	38
523	261	37
524	262	37
525	262	36
526	263	36
527	263	35
528	264	35
529	264	34
530	265	34
531	265	33
532	266	33
533	266	32
534	267	32
535	267	31
536	268	31
537	268	30
538	269	30
539	269	29
540	270	29
541	270	28
542	271	28
543	271	27
544	272	27
545	272	26
546	273	26
547	273	25
548	274	25
549	274	24
550	275	24
551	275	23
552	276	23
553	276	22
554	277	22
555	277	21
556	278	21
557	278	20
558	279	20
559	279	19
560	280	19
561	280	18
562	281	18
563	281	17
564	282	17
565	282	16
566	283	16
567	283	15
568	284	15
569	284	14
570	285	14
571	285	13
572	286	13
573	286	12
574	287	12
575	287	11
576	288	11
577	288	10
578	289	10
579	289	9
580	290	9
581	290	8
582	291	8
583	291	7
584	292	7
585	292	6
586	293	6
587	293	5
588	294	5
589	294	4
590	295	4
591	295	3
592	296	3
593	296	2
594	297	2
595	297	1
596	298	1
597	298	0
598	299	0
599	299	0
